Region,district,Date,visitors
Domestic,Adilabad,01-01-16,792136
Domestic,Adilabad,01-02-16,937820
Domestic,Adilabad,01-03-16,582946
Domestic,Adilabad,01-04-16,341948
Domestic,Adilabad,01-05-16,252887
Domestic,Adilabad,01-06-16,368237
Domestic,Adilabad,01-07-16,447562
Domestic,Adilabad,01-08-16,614285
Domestic,Adilabad,01-09-16,491279
Domestic,Adilabad,01-10-16,94184
Domestic,Adilabad,01-11-16,99148
Domestic,Adilabad,01-12-16,53125
Domestic,Bhadradri Kothagudem ,01-01-16,
Domestic,Bhadradri Kothagudem ,01-02-16,
Domestic,Bhadradri Kothagudem ,01-03-16,
Domestic,Bhadradri Kothagudem ,01-04-16,
Domestic,Bhadradri Kothagudem ,01-05-16,
Domestic,Bhadradri Kothagudem ,01-06-16,
Domestic,Bhadradri Kothagudem ,01-07-16,
Domestic,Bhadradri Kothagudem ,01-08-16,
Domestic,Bhadradri Kothagudem ,01-09-16,
Domestic,Bhadradri Kothagudem ,01-10-16,310133
Domestic,Bhadradri Kothagudem ,01-11-16,252127
Domestic,Bhadradri Kothagudem ,01-12-16,326770
Domestic,Hyderabad,01-01-16,1122510
Domestic,Hyderabad,01-02-16,778748
Domestic,Hyderabad,01-03-16,1017794
Domestic,Hyderabad,01-04-16,1127738
Domestic,Hyderabad,01-05-16,1287181
Domestic,Hyderabad,01-06-16,12032661
Domestic,Hyderabad,01-07-16,1096754
Domestic,Hyderabad,01-08-16,1061137
Domestic,Hyderabad,01-09-16,832987
Domestic,Hyderabad,01-10-16,901960
Domestic,Hyderabad,01-11-16,909733
Domestic,Hyderabad,01-12-16,1225502
Domestic,Jagtial ,01-01-16,
Domestic,Jagtial ,01-02-16,
Domestic,Jagtial ,01-03-16,
Domestic,Jagtial ,01-04-16,
Domestic,Jagtial ,01-05-16,
Domestic,Jagtial ,01-06-16,
Domestic,Jagtial ,01-07-16,
Domestic,Jagtial ,01-08-16,
Domestic,Jagtial ,01-09-16,
Domestic,Jagtial ,01-10-16,201249
Domestic,Jagtial ,01-11-16,214534
Domestic,Jagtial ,01-12-16,207294
Domestic,Jangaon ,01-01-16,
Domestic,Jangaon ,01-02-16,
Domestic,Jangaon ,01-03-16,
Domestic,Jangaon ,01-04-16,
Domestic,Jangaon ,01-05-16,
Domestic,Jangaon ,01-06-16,
Domestic,Jangaon ,01-07-16,
Domestic,Jangaon ,01-08-16,
Domestic,Jangaon ,01-09-16,
Domestic,Jangaon ,01-10-16,14770
Domestic,Jangaon ,01-11-16,13210
Domestic,Jangaon ,01-12-16,12680
Domestic,Jayashankar Bhoopalpally,01-01-16,
Domestic,Jayashankar Bhoopalpally,01-02-16,
Domestic,Jayashankar Bhoopalpally,01-03-16,
Domestic,Jayashankar Bhoopalpally,01-04-16,
Domestic,Jayashankar Bhoopalpally,01-05-16,
Domestic,Jayashankar Bhoopalpally,01-06-16,
Domestic,Jayashankar Bhoopalpally,01-07-16,
Domestic,Jayashankar Bhoopalpally,01-08-16,
Domestic,Jayashankar Bhoopalpally,01-09-16,
Domestic,Jayashankar Bhoopalpally,01-10-16,76360
Domestic,Jayashankar Bhoopalpally,01-11-16,81580
Domestic,Jayashankar Bhoopalpally,01-12-16,85460
Domestic,Jogulamba Gadwal ,01-01-16,
Domestic,Jogulamba Gadwal ,01-02-16,
Domestic,Jogulamba Gadwal ,01-03-16,
Domestic,Jogulamba Gadwal ,01-04-16,
Domestic,Jogulamba Gadwal ,01-05-16,
Domestic,Jogulamba Gadwal ,01-06-16,
Domestic,Jogulamba Gadwal ,01-07-16,
Domestic,Jogulamba Gadwal ,01-08-16,
Domestic,Jogulamba Gadwal ,01-09-16,
Domestic,Jogulamba Gadwal ,01-10-16,152898
Domestic,Jogulamba Gadwal ,01-11-16,188170
